"","DS1_L_1","DS1_L_2","DS1_L_3","DS1_L_4","DS1_L_5","DS1_L_6","DS1_R_1","DS1_R_2","DS1_R_3","DS1_R_4","DS1_R_5","DS1_R_6","DS2_L_1","DS2_L_2","DS2_L_3","DS2_L_4","DS2_L_5","DS2_L_6","DS2_R_1","DS2_R_2","DS2_R_3","DS2_R_4","DS2_R_5","DS2_R_6","DS3_L_1","DS3_L_2","DS3_L_3","DS3_L_4","DS3_L_5","DS3_L_6","DS3_R_1","DS3_R_2","DS3_R_3","DS3_R_4","DS3_R_5","DS3_R_6"
"methanogenesis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"nitrification",0.00718411448604845,0.00142073707839627,0.296215345680433,0.00144967454806396,1.16308999066954,0.00219567890391709,0.123773318009018,0.0469465200891984,0.0236361917367874,0.039443488238669,0.0916772959183673,0.405906912014845,0.00997307270370001,0,0.150724987188376,0.00817639203074323,0,0,0.117164616285882,0.0544299969761113,0.0140167266271083,0.161333691852649,0.285732427455711,0.0639100146993034,0.161371219224982,0.00353556781219064,0.231225842076201,0,0.0307436643124221,0.00885331822367023,0.833914546502108,0.752375412061276,0.33803030878499,0.703291847706017,0.430550355672033,0.564433866031962
"respiration_of_sulfur_compounds",0.00574729158883876,0,0.00287587714252847,0,0,0,0.0176819025727168,0.019561050037166,0.170180580504869,0.0645438898450947,0.135522959183673,0.0193289005721355,1.2931750939131,0.208696646559364,2.1071353208935,0.645934970428716,2.57682458386684,16.3454942313689,0.0692336368962028,0.0483822195343211,1.30355557632108,0.107555794568432,0.0507968759921265,0.102256023518885,0.00654207645506684,0.590439824635837,0.0241579237990061,0.0269130707813762,0.00332363938512671,0.329343437920533,6.59247354216575,4.74694589877836,4.69824148277565,3.19611164297813,5.41619867714963,1.93471608296498
"dissimilatory_arsenate_reduction",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dissimilatory_arsenite_oxidation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dark_hydrogen_oxidation",0,0,0,0.0739334019512619,0,0,0,0.0039122100074332,0,0,0,0,0,0,0.00602899948753504,0,0.00800256081946223,0,0,0,0.0233612110451806,0.00672223716052702,0,0,0,0,0.00345113197128658,0,0,0.00177066364473405,0.139491160505807,0.174520069808028,0.170914201071062,0.0184107813535606,0.00935979034069637,0.051003060183611
"dark_oxidation_of_sulfur_compounds",0.959797695336073,0.00142073707839627,0.191245829978143,0.00434902364419188,0.00804349924391107,0.00658703671175127,0.181239501370347,0.58683150111498,0.0425451451262173,0.107573149741824,0.167410714285714,0.0115973403432813,0.0964063694691001,1.33794562451757,0.0482319959002803,0.179880624676351,0.0240076824583867,0.00311817898347365,0.340842520104383,0.447535530692471,0.588702518338551,0.410056466792148,0.0761953139881897,0.0958650220489551,0.109034607584447,0.00707113562438128,0.0724737713970182,0.170449448282049,0.0963855421686747,0.0920745095261704,3.271977438821,0.395578824898197,2.74222340385127,0.655423816186759,1.06701609883939,1.68990139408365
"animal_parasites_or_symbionts",7.41113250380758,18.3189838888415,16.8051880823651,20.1606239399255,17.2195231813648,10.6292815738626,2.37379542038723,1.38492234263135,4.39160442469509,1.43430866322433,3.55548469387755,4.78197000154631,6.10019613709651,2.31853397752937,7.52117686069997,7.02079529039819,14.0044814340589,3.87277829747427,1.55509399797625,2.09857877230118,1.52782320235481,1.80828179618177,1.23182424280907,1.66166038218189,1.89720217196938,9.44350162636119,0.759249033683048,0.753565981878532,5.26630660573328,1.18634464197181,4.9822603632835,2.76517355051386,1.66356489042501,1.81898519773179,5.55347560214651,3.22679360761646
"nitrogen_respiration",0.0258628121497744,8.93927769726934,1.24094098700104,0.333425146054711,1.38991666934783,10.6358686105744,0.795685615772257,0.262118070498024,0.675995083672119,0.111158921399885,0.5859375,0.259007267666615,0.1894883813703,2.57297235484148,3.22250022608748,4.1726853996893,0.368117797695262,1.94262550670408,1.08643553283272,1.30631992742667,1.91561930570481,0.262167249260554,0.317480474950791,0.453761104365054,20.3894716182916,0.0494979493706689,0.976670347874103,0.209323883855148,22.5592023265476,3.51476733479708,5.63119750128878,4.49873957727361,3.18660032663603,4.0061860225348,1.78460002495944,2.09452567154029
"phototrophy",0.00143682289720969,0,0,0.00144967454806396,0.00160869984878221,0,0.702855627265494,0.312976800594656,0.170180580504869,0.100401606425703,0.454400510204082,0.1855574454925,0.0897576543333001,1.32079247548529,0.0301449974376752,0.179880624676351,0.00800256081946223,0.00311817898347365,3.12083932470576,5.87843967342002,4.84044292856142,4.50389889755311,4.70506063877072,6.21844443024222,0.0697821488540463,0.00707113562438128,0,0.065787506354475,0,0.0690558821446278,5.97386056948782,8.1326352530541,7.78609138212617,4.03932542897121,8.11805815549732,22.0673240394424
"chemoheterotrophy",82.6805367970344,50.3225073167959,60.6364316116415,59.7744306403212,63.9297319906052,67.7125417178992,84.7581999823181,90.5285395720042,81.0012290819703,89.6622203098107,79.5559630102041,83.987938766043,79.6748778298594,82.6524486120244,75.2660296023875,77.4440598511897,80.8738796414853,65.7655129404428,68.5839058422538,63.4351375869368,60.3279914030743,79.0400645334767,79.0843863102419,76.1423915127501,50.9867631986393,76.9869891104511,90.7233572611817,97.4940940761341,48.6589115081014,59.4287839082088,38.3782636382934,42.9590847391894,43.3856204185499,50.7327490978717,54.5800574067141,48.0244814688881
"dark_sulfite_oxidation",0,0,0,0,0,0,0,0,0,0,0,0,0.00997307270370001,0.0171531490322765,0.0150724987188376,0,0.0240076824583867,0,0,0,0,0,0,0,0.04143315088209,0.00353556781219064,0.0655715074544451,0.107652283125505,0.00332363938512671,0.0194773000920745,0,0,0,0,0,0
"nitrogen_fixation",0.158050518693066,1.2204131503424,0.4141263085241,0.86400603064612,0.0176956983366044,0.00878271561566837,4.06683759172487,3.30190524627362,3.42252056348681,2.51362593230063,4.57589285714286,4.14411628266584,0.0964063694691001,1.33794562451757,0.0331594971814427,0.782208170941103,0.208066581306018,0.00935453695042095,2.35926931884753,3.85243423042032,6.53646685044153,5.08873353051896,5.37176963616738,6.02671438614431,0.080685609612491,0.0106067034365719,0,0.0777488711461978,0.000830909846281678,0.0885331822367023,6.87145586317737,8.23346907116541,7.39108967298416,10.258487370204,4.60189691750905,5.41652499149949
"manganese_oxidation",0,0,0,0,0,0,0.0309433295022544,0,0.0236361917367874,0.00358577165806081,0,0,0,0,0,0,0.00800256081946223,0,0,0,0,0.00672223716052702,0,0,0.00218069215168895,0,0,0,0,0,0,0,0.00379809335713472,0,0,0
"manganese_respiration",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"plant_pathogen",0.711227334118797,0.00426221123518882,0.322098239963189,1.84108667604123,0.00804349924391107,0.00219567890391709,0.181239501370347,0.0273854700520324,1.04944691311336,0.799627079747562,0.534119897959184,0.0309262409154167,0.1030550846049,0.0142942908602304,0.192927983601121,0.0926657763484233,0.0240076824583867,0.0561272217025257,0.330191191351121,0.41124886604173,0.345745923468673,0.94783543963431,1.29532033779923,1.16316226752732,0.0218069215168895,0.106067034365719,0.00345113197128658,0.0388744355730989,0.0290818446198587,0.741908067143565,0.439700397246566,0.376187706030638,1.35971742185423,0.86530672361735,0.180955946586796,0.333219993199592
"dark_iron_oxidation",0.00143682289720969,0,0,0.00144967454806396,0,0,0,0.0273854700520324,0,0.00358577165806081,0.0039859693877551,0,0.0864332967654001,1.32079247548529,0.0301449974376752,0.177155160666103,0,0.00311817898347365,0.010651328753262,0.356818869065618,0.163528477316264,0.336111858026351,0,0.00639100146993034,0.0676014567023573,0.00353556781219064,0,0.0627971651565444,0,0.0690558821446278,0.0576159141219638,0.0155128950940469,0.979908086140757,0.198836438618455,0.140396855110446,0.18701122067324
"iron_respiration",0.538808586453634,0.00142073707839627,0.00143793857126424,0,0,0,0.137034744938555,0.176049450334494,0.250543632409946,0.114744693057946,0.135522959183673,0.00386578011442709,0,0,0.0120579989750701,0.0190782480717342,0,0.0124727159338946,15.5189859935027,13.5470214696099,12.6010372377704,1.64694810432912,2.07632230617817,1.57857736307279,0.00218069215168895,0.00353556781219064,0,0.00598068239586137,0,0.00177066364473405,3.2204263577645,5.24335854178786,5.53762011470242,3.65269902054643,2.46474478971671,1.25467528051683
"nitrate_reduction",7.2071036524038,20.2412411559117,19.8378005291614,16.885809135849,14.8676040024452,10.9827858773933,3.28883387852533,1.00543797191033,6.36286281554316,1.81081468732071,5.84741709183673,2.00247409927323,8.12472989594761,4.07101403699362,6.1254634793356,6.81638548962961,1.61651728553137,6.95977549111319,2.25275603131491,3.26579981856668,3.32663645283372,1.39822532938962,0.793701187376976,1.24624528663642,20.6075408334605,6.65747419035497,1.3114301490889,0.768517687868186,22.6788533444121,3.74672427225724,19.5621190526731,18.2664339732403,12.6476508792586,6.64629206863539,10.7169599400973,8.12648758925536
"fumarate_respiration",0,0,0,0,0,0,0,0,0,0,0,0,0.0299192181111,0,0.159768486419679,0,0.0240076824583867,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0303241653273494,0,0,0,0.00311993011356546,0.00680040802448147
